Tiempo autenticacion,Tiempo Consulta
1431480662,12345440
631550271,1666263
338053708,1462207
796795582,1282902
546000032,1031152
448899150,1466130
803390000,1312182
261101931,1615249
623229218,1426587
517442636,1138915
255161642,915841
461829895,1138613
268374023,1175440
178164285,1592006
498422483,1077034
438175599,1240944
665922382,1132274
199275417,1166686
368593717,1104201
569761187,848224
773007261,801134
235048457,1133180
604789843,803549
738459467,886561
253810520,943914
688239140,1037189
1033417330,885354
1115802575,833433
458293010,1148272
241585522,941801
668283525,942405
1003036402,906484
838309685,824378
297367908,767930
739974499,767327
454865096,751932
647067045,818944
428527874,923388
237009939,1078845
514151465,791475
324338128,771854
713180866,742272
264555202,1212267
358459395,746196
465020850,778495
644236510,818642
482202377,769138
235678136,923387
336817896,809285
211358844,632697
366517830,961422
179082843,1579327
583901483,908898
546273518,803247
150579479,808983
466470378,723556
553775928,713897
625185870,742272
529543872,673146
511336627,748611
615567426,833131
762853318,636018
394786347,804153
824694322,2771974
206920908,732915
236935682,765213
779141344,802945
850772246,710275
483261602,751629
593881253,852148
431241287,1333614
205326789,759478
467889720,865732
767143041,696993
952975457,570514
290173998,683409
116650195,802644
489427680,755856
158683797,926104
243126211,709672
170931133,668920
544756976,636621
809971740,596172
110996975,638131
604964619,610058
183981717,800229
476691031,807172
301170731,798116
384337488,601605
428522442,716312
168878792,789664
307344055,740763
235785598,1082769
230741529,727783
402576127,663789
353418345,672241
539478967,744989
744314631,582589
156736804,645074
529050635,661072
403294552,603719
730973055,623641
546617335,754044
314878161,627263
265776222,695182
496858550,579268
294004592,641753
610107697,737141
138915335,751328
305147425,638432
874707574,607945
394900449,787853
314546115,838867
427960681,638432
396082228,632697
973935357,2364464
369162721,647790
1037701619,595267
474788714,731103
191488353,738348
1025689129,1312786
356164661,777589
349681026,603115
143742366,542442
267625412,612171
395647854,579570
680452982,645375
422607509,750120
449585275,685523
313821955,648998
476101499,660770
736219671,592852
345332139,538215
412767199,534291
316771121,665297
245151386,671033
682418086,706351
356555266,694277
692524334,598889
886745420,659562
301208464,532178
437043023,608850
677215239,660468
319142527,628169
385756831,604020
470553024,614888
448265849,574740
744222564,540932
398934799,552403
359367086,614887
364463376,560854
486996205,602209
361670875,608247
130351889,588928
115590367,626056
115366388,641451
332442145,643262
295611389,575646
212259894,586814
520500471,572023
772964397,613076
367591242,643262
267450937,762195
347337390,504407
133333655,571420
97237625,695182
281231115,575042
328368855,565383
634883401,597983
892111874,610963
144412796,1374064
381475862,719331
251446057,516481
652348073,492030
572927087,530668
515331734,588324
309476691,511048
441843793,742574
499934195,630282
1167387306,512255
101956893,563873
716537542,552704
225657012,491125
309522271,596172
461280813,588626
338358284,615793
526309752,478145
541575077,424414
574233836,567797
453161402,555421
424768821,553911
473804954,665298
675692661,589230
406394647,535498
346499428,605228
1041835280,520103
178874258,551497
453057261,615793
293009966,607341
1110883174,486899
357437602,501086
441624643,511651
783633914,396643
520642043,471806
287676414,501388
145892208,515878
203671394,521915
285281161,501690
341221721,481465
132897771,476032
237731081,492031
391297156,518896
152316377,480258
615060303,537913
495181118,600097
762724425,462146
681171709,439507
716836986,502596
245826947,495049
586450382,551799
309788813,395134
334875733,448261
580778145,453393
435802381,516481
207414448,610360
1164661818,467580
251255885,507728
339338421,483880
194066232,339591
404082103,423810
437157729,440413
331785601,479956
122027214,498068
600569548,508029
420208633,455506
431861005,470297
479461797,478749
408470835,407812
251878320,406906
196547817,642658
98947960,440412
189955210,493540
425441061,463052
527743584,469693
302665840,498974
434763985,482673
276402272,378531
319876648,482371
169317695,373702
256470505,569910
328964121,684919
1189315872,423207
506164268,567194
409932438,480862
192257793,830415
157732337,763704
264432948,559647
281652511,410226
129345792,469995
433026484,473617
336066870,380644
156204626,418076
256013188,398454
893977967,443432
850566680,450978
252193763,416867
395914395,517688
208159437,517085
400766179,666807
257013247,668921
405956348,503803
932975167,487503
441885449,461241
285632223,539725
836402538,414754
230988148,514067
387810681,397247
332250464,407510
393882882,415358
632186892,451280
507552821,384870
557842576,525235
281154443,456110
370402759,471504
900924655,432565
381135667,511651
332225108,448864
621570803,496558
293099920,432564
263671056,420792
544634422,414754
205607217,464864
666006903,1315804
145987898,578060
461190859,394228
421016107,512557
308281931,421698
839165154,492936
894960520,559345
444648669,430150
800077698,425622
294885116,419282
931621026,436187
468345527,425018
1262263184,445846
278101438,420792
338703007,509539
132608590,535498
559369380,537309
149446903,572627
253043496,494445
297063634,412943
261690557,400567
502586028,458525
610113433,445242
668238549,453392
295973620,418075
937762655,399963
207929420,445846
278327228,422302
293838267,420792
191359158,408415
514804989,445545
477917485,407510
228717563,448261
124528722,450978
715437566,484484
586530073,461543
175039438,493238
356231975,416566
146676137,561157
