Tiempo autenticacion, Tiempo Consulta
1392356096,14696751
1545047929,1315239
234355609,1387990
482143445,1010353
139126786,940923
318181365,1061067
518966826,932471
342536688,1417271
333218925,1201737
621043226,807497
302914386,914962
393059146,850967
849741827,1055029
148634726,1243395
1045805467,7734163
445699210,1152230
520583934,862437
234789394,842816
424396679,1891505
479464365,836476
437289164,962657
121627492,935791
208140175,826515
745423151,853985
423028311,946960
387339954,800252
446713486,800554
1065195965,862136
330340915,1031785
178362396,745313
393711484,857607
285511690,855796
1189897682,860626
667591893,769462
641262051,680108
448854033,851570
697459025,793008
708269224,797535
400767349,696107
864223346,707277
366099909,757689
313907818,718748
310520255,963865
115668615,715427
303088866,647808
370754414,1293504
410973812,599208
230465435,760708
1116676854,625773
716390080,655355
392433676,1060463
581520540,661091
662584202,831043
277876841,661997
153258742,757689
805676630,655355
258580224,1361727
364377148,697617
789630830,746218
409241692,511063
421374677,730823
424269290,659582
580371026,696108
157845326,636036
627059759,696712
145308139,658676
1004362296,638149
320343345,598302
205103987,1100007
569162060,636640
247773345,623358
274162052,745010
262464965,625169
322777005,711503
161670297,685844
418414860,507441
555481095,2033082
257090806,599208
264095656,523138
304123971,772782
