Tiempo autenticacion, Tiempo Consulta
457914,159681
425615,144287
485081,667703
468479,175378
865720,601898
274386,111385
1358045,588616
1457959,602804
1470335,561450
1014534,538207
780597,537603
418370,233938
1228549,458518
1529800,1121994
597974,229712
335058,93575
1292542,607634
1358347,491721
1163952,536698
1177535,470592
1268997,512550
815008,246314
206771,84821
1185988,467573
1209532,484175
1196552,466366
1173612,468176
1188101,280423
1020269,431048
1272016,457612
1134974,455499
1126824,465159
520700,145192
287064,117421
294611,194092
292799,115913
1164858,460027
1076716,446444
1114448,443726
1065548,482062
1084866,444934
1345366,3670857
246314,73350
233032,73049
1058605,508022
1040493,498061
1042003,501984
1013326,494740
1523763,1672879
1031136,497155
1114146,478440
460027,218844
1015138,485684
293704,89953
265029,134325
1027816,496853
1032947,481760
1026306,482666
1003064,477534
1007592,478741
1008497,475723
1011515,478742
1008799,476629
707246,356188
446141,157267
335059,173566
565374,279819
972274,351359
974991,462140
790859,704227
960804,464253
585900,348039
982537,340492
984047,463347
740148,382752
394826,141871
527039,188659
932429,461235
963520,462744
968652,471497
